time,distance
"5/8/2026, 9:59:57 PM",NaN

time,distance
"5/8/2026, 9:59:58 PM",NaN

time,distance
"5/8/2026, 9:59:58 PM",NaN

time,distance
"5/8/2026, 9:59:58 PM",NaN

time,distance
"5/8/2026, 9:59:58 PM",NaN

time,distance
"5/8/2026, 9:59:58 PM",NaN

time,distance
"5/8/2026, 9:59:58 PM",NaN

time,distance
"5/8/2026, 9:59:59 PM",NaN

time,distance
"5/8/2026, 9:59:59 PM",NaN

time,distance
"5/8/2026, 9:59:59 PM",NaN

time,distance
"5/8/2026, 9:59:59 PM",NaN

time,distance
"5/8/2026, 9:59:59 PM",NaN

time,distance
"5/8/2026, 9:59:59 PM",NaN

time,distance
"5/8/2026, 10:00:00 PM",NaN

time,distance
"5/8/2026, 10:00:00 PM",NaN

time,distance
"5/8/2026, 10:00:00 PM",NaN

time,distance
"5/8/2026, 10:00:00 PM",NaN

time,distance
"5/8/2026, 10:00:00 PM",NaN

time,distance
"5/8/2026, 10:00:00 PM",NaN

time,distance
"5/8/2026, 10:00:01 PM",NaN

time,distance
"5/8/2026, 10:00:01 PM",NaN

time,distance
"5/8/2026, 10:00:01 PM",NaN

time,distance
"5/8/2026, 10:00:01 PM",NaN

time,distance
"5/8/2026, 10:00:01 PM",NaN

time,distance
"5/8/2026, 10:00:01 PM",NaN

time,distance
"5/8/2026, 10:00:02 PM",NaN

time,distance
"5/8/2026, 10:00:02 PM",NaN

time,distance
"5/8/2026, 10:00:02 PM",NaN

time,distance
"5/8/2026, 10:00:02 PM",NaN

time,distance
"5/8/2026, 10:00:02 PM",NaN

time,distance
"5/8/2026, 10:00:02 PM",NaN

time,distance
"5/8/2026, 10:00:02 PM",NaN

time,distance
"5/8/2026, 10:00:02 PM",NaN

time,distance
"5/8/2026, 10:00:03 PM",NaN

time,distance
"5/8/2026, 10:00:03 PM",NaN

time,distance
"5/8/2026, 10:00:03 PM",NaN

time,distance
"5/8/2026, 10:00:03 PM",NaN

time,distance
"5/8/2026, 10:00:03 PM",NaN

time,distance
"5/8/2026, 10:00:03 PM",NaN

time,distance
